"Abbrev","Stat Name","Description","Unit","Pctile Dir","Available In"
"ATB3 FGA/100","Above Break 3s FGA / 100 Poss","Field goal attempts on above the break 3s per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP, Lineup, On/Off"
"ATB3 FGA/40","Above Break 3s FGA / 40 Mins","Field goal attempts on above the break 3s per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP, Lineup, On/Off"
"ATB3 FGA/G","Above Break 3s FGA / Game","Field goal attempts on above the break 3s per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"ATB3 FGA% (0-10s) A","Above Break 3s FGA% (0-10s) % of all shots","Percentage of all shots taken that were above the break 3s with 0 - 10 seconds remaining on the shot clock.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATB3 FGA% (0-10s) Z","Above Break 3s FGA% (0-10s) % of ATB 3s","Percentage of all above the break 3s that were taken with 0 - 10 seconds remaining on the shot clock.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATB3 FGA% (0-10s) C","Above Break 3s FGA% (0-10s) % of 0-10s shots","Percentage of all shots taken with 0 - 10 seconds remaining on the shot clock that were above the break 3s.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATB3 FGA% (10-20s) A","Above Break 3s FGA% (10-20s) % of all shots","Percentage of all shots taken that were above the break 3s with 10 - 20 seconds remaining on the shot clock.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATB3 FGA% (10-20s) Z","Above Break 3s FGA% (10-20s) % of ATB 3s","Percentage of all above the break 3s that were taken with 10 - 20 seconds remaining on the shot clock.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATB3 FGA% (20-30s) A","Above Break 3s FGA% (20-30s) % of all shots","Percentage of all shots taken that were above the break 3s with 20 - 30 seconds remaining on the shot clock.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATB3 FGA% (20-30s) Z","Above Break 3s FGA% (20-30s) % of ATB 3s","Percentage of all above the break 3s that were taken with 20 - 30 seconds remaining on the shot clock.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATB3 FGA% (20-30s) C","Above Break 3s FGA% (20-30s) % of 20-30s shots","Percentage of all shots taken with 20 - 30 seconds remaining on the shot clock that were above the break 3s.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATB3 FGM","Above Break 3s FGM","The total number of field goals made on above the break 3s.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off"
"ATB3 FGM (0-10s)","Above Break 3s FGMs with 0-10 Secs on Shot Clock","The total number of field goals made on above the break 3s taken with 0 - 10 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATB3 FGM (10-20s)","Above Break 3s FGMs with 10-20 Secs on Shot Clock","The total number of field goals made on above the break 3s taken with 10 - 20 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATB3 FGM (20-30s)","Above Break 3s FGMs with 20-30 Secs on Shot Clock","The total number of field goals made on above the break 3s taken with 20 - 30 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATB3 ORB CHNC","Above Break 3s Offensive Rebound Chances","The total number of offensive rebounds chances (offensive rebounds grabbed plus opponent defensive rebounds) on the team's missed above the break 3s.","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"ATB3 ORB%","Above Break 3s Offensive Rebounding Percentage","Percentage of the team's missed above the break 3s that were offensive rebounded by the team.","Percentage","Highest % = 100th","Team Agg PBP, Team Game PBP"
"ATB3 ORB","Above Break 3s Offensive Rebounds","The total number of offensive rebounds grabbed on the team's missed above the break 3s.","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"ATB3 REB CHNC","Above Break 3s Rebound Chances","The total number of rebounds chances (rebounds grabbed plus opponent rebounds) on the team's and opponent's missed above the break 3s.","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"ATB3 REB%","Above Break 3s Rebounding Percentage","Percentage of the team's and opponent's missed above the break 3s that were rebounded by the team.","Percentage","Highest % = 100th","Team Agg PBP, Team Game PBP"
"ATB3 REB","Above Break 3s Rebounds","The total number of rebounds grabbed on the team's and opponent's missed above the break 3s.","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"ATB3 FGA% (10-20s) C","Above Break 3s FGA% (10-20s) % of 10-20s shots","Percentage of all shots taken with 10 - 20 seconds remaining on the shot clock that were above the break 3s.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"DRtg Adj","Adjustment to DRtg","The size of the adjustment for the team's adjusted defensive rating, that takes into account the average defensive rating allowed by the team's opponents throughout the season.","Number","Lowest # = 100th","Team Agg"
"eFG% Adj","Adjustment to eFG%","The size of the adjustment for the team's adjusted effective field goal percentage, that takes into account the average eFG% allowed by the team's opponents throughout the season.","Percentage","Highest % = 100th","Team Agg"
"FTA Rate Adj","Adjustment to FTA Rate","The size of the adjustment for the team's adjusted free throw attempt rate, that takes into account the average FTA Rate allowed by the team's opponents throughout the season.","Percentage","Highest % = 100th","Team Agg"
"Net Rtg Adj","Adjustment to Net Rating","The size of the adjustment for the team's adjusted net rating, that takes into account the average Net Rating allowed by the team's opponents throughout the season.","Number","Highest # = 100th","Team Agg"
"ORB% Adj","Adjustment to ORB%","The size of the adjustment for the team's adjusted offensive rebound percentage, that takes into account the average ORB% allowed by the team's opponents throughout the season.","Percentage","Highest % = 100th","Team Agg"
"ORtg Adj","Adjustment to ORtg","The size of the adjustment for the team's adjusted offensive rating, that takes into account the average offensive rating allowed by the team's opponents throughout the season.","Number","Highest # = 100th","Team Agg"
"Pace Adj","Adjustment to Pace","The size of the adjustment for the team's adjusted pace, that takes into account the average pace by the team's opponents throughout the season.","Number","Highest # = 100th","Team Agg"
"TOV% Adj","Adjustment to TOV%","The size of the adjustment for the team's adjusted turnover percentage, that takes into account the average TOV% allowed by the team's opponents throughout the season.","Percentage","Lowest % = 100th","Team Agg"
"OOP FGA%","Alley-Oop % of Shots","The percentage of shots taken that were alley-oop dunk attempts.","Percentage","Highest % = 100th","Team Agg PBP, Player Agg PBP"
"OOP AST","Alley-Oop Assists","The total number of alley-oops assisted by the player.","Integer","Highest # = 100th","Player Game PBP, Player Agg PBP"
"OOP AST/40","Alley-Oop Assists / 40 Mins","The number of alley-oops assisted by the player, per 40 minutes played.","Number","Highest # = 100th","Player Agg PBP"
"OOP AST/G","Alley-Oop Assists / Game","The number of alley-oops assisted by the player, per game.","Number","Highest # = 100th","Player Agg PBP"
"OOP FG%","Alley-Oop FG%","Field goal percentage on alley-oops.","Percentage","Highest % = 100th","Team Agg PBP, Player Agg PBP"
"OOP FGA/100","Alley-Oop FGA / 100 Poss","The number of alley-oop field goal attempts by the player, per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"OOP FGA/40","Alley-Oop FGA / 40 Mins","The number of alley-oop field goal attempts by the player, per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"OOP FGA/G","Alley-Oop FGA / Game","The number of alley-oop field goal attempts by the player, per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"OOP FGA","Alley-Oop Field Goals Attempted","The total number of alley-oop field goal attempts by the player.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"OOP FGM","Alley-Oop Field Goals Made","The total number of alley-oop field goals made by the player.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"And1%","And 1 Percentage","The percentage of shooting fouls drawn where the shot was made.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"3And1%","And 1 Percentage on 3P SFLs","The percentage of 3-point shooting fouls drawn where the shot was made.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"And 1s","And 1s","The total number of times a shot was made while being fouled by a defender from the opposing team (total number of And 1s).","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"And1/100","And 1s / 100 Poss","The number of and 1s (made shot + foul drawn) per 100 possessions.","Number","Highest # = 100th","Team Agg PBP"
"And1/40","And 1s / 40 Mins","The number of and 1s (made shot + foul drawn) per 40 minutes.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"And1/G","And 1s / Game","The number of and 1s (made shot + foul drawn) per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"2P And 1s","And 1s on 2P SFLs","The total number of times a 2-point shot was made while being fouled by a defender from the opposing team (total number of And 1s made on 2-point shooting fouls).","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Team Game PBP"
"3P And 1s","And 1s on 3P SFLs","The total number of times a 3-point shot was made while being fouled by a defender from the opposing team (total number of And 1s made on 3-point shooting fouls).","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"AP Poll","AP Poll Rank","The AP Poll ranking of the team in a given game.","Integer","Lowest # = 100th","Player Game PBP, Team Game, Player Game, Team Game PBP"
"AP Poll Agst","AP Poll Rank Against","The AP Poll ranking of the team's opponent in a given game.","Integer","Lowest # = 100th","Player Game PBP, Team Game, Player Game, Team Game PBP"
"AST%","Assist Percentage","An estimate of the percentage of teammate field goals a player assisted while he was on the floor.","Percentage","Highest % = 100th","Team Game, Player Agg, Team Agg, Player Game, Lineup, On/Off"
"AST Ratio","Assist Ratio","The percentage of possessions used by the player that ends in an assist.","Percentage","Highest % = 100th","Team Game, Player Agg, Team Agg, Player Game, Lineup, On/Off"
"AST/USG","Assist-To-Usage Ratio","A player's assist percentage can be inflated from a player having a high usage rate, as he'll have more opportunities to generate assists. With AST% / USG%, a player must have a high AST% relative to their USG% to perform well.","Ratio","Highest # = 100th","Player Agg, Player Game"
"a2PM","Assisted 2-Point Field Goals","The total number of assisted 2-point field goals made by the player.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"a2PM/100","Assisted 2-Point Field Goals / 100 Poss","The number of assisted 2-point field goals made by the player, per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"a2PM/40","Assisted 2-Point Field Goals / 40 Mins","The number of assisted 2-point field goals made by the player, per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"a2PM/G","Assisted 2-Point Field Goals / Game","The number of assisted 2-point field goals made by the player, per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"a3PM","Assisted 3-Point Field Goals","The total number of assisted 3-point field goals made by the player.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"a3PM/100","Assisted 3-Point Field Goals / 100 Poss","The number of assisted 3-point field goals made by the player, per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"a3PM/40","Assisted 3-Point Field Goals / 40 Mins","The number of assisted 3-point field goals made by the player, per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"a3PM/G","Assisted 3-Point Field Goals / Game","The number of assisted 3-point field goals made by the player, per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
